date,ticker,field,value
2024-07-30,SANB11 BZ Equity,PX_LAST,25.495
2024-07-31,SANB11 BZ Equity,PX_LAST,25.389
2024-08-01,SANB11 BZ Equity,PX_LAST,25.841
2024-08-02,SANB11 BZ Equity,PX_LAST,25.034
2024-08-05,SANB11 BZ Equity,PX_LAST,25.105
2024-08-06,SANB11 BZ Equity,PX_LAST,25.158
2024-08-07,SANB11 BZ Equity,PX_LAST,24.963
2024-08-08,SANB11 BZ Equity,PX_LAST,25.061
2024-08-09,SANB11 BZ Equity,PX_LAST,25.406
2024-08-12,SANB11 BZ Equity,PX_LAST,25.663
2024-08-13,SANB11 BZ Equity,PX_LAST,25.965
2024-08-14,SANB11 BZ Equity,PX_LAST,26.621
2024-08-15,SANB11 BZ Equity,PX_LAST,26.612
2024-08-16,SANB11 BZ Equity,PX_LAST,26.798
2024-08-19,SANB11 BZ Equity,PX_LAST,27.25
2024-08-20,SANB11 BZ Equity,PX_LAST,27.533
2024-08-21,SANB11 BZ Equity,PX_LAST,27.533
2024-08-22,SANB11 BZ Equity,PX_LAST,27.445
2024-08-23,SANB11 BZ Equity,PX_LAST,27.728
2024-08-26,SANB11 BZ Equity,PX_LAST,27.719
2024-08-27,SANB11 BZ Equity,PX_LAST,27.631
2024-08-28,SANB11 BZ Equity,PX_LAST,27.932
2024-08-29,SANB11 BZ Equity,PX_LAST,27.87
2024-08-30,SANB11 BZ Equity,PX_LAST,27.826
2024-09-02,SANB11 BZ Equity,PX_LAST,27.826
2024-09-03,SANB11 BZ Equity,PX_LAST,27.879
2024-09-04,SANB11 BZ Equity,PX_LAST,28.154
2024-09-05,SANB11 BZ Equity,PX_LAST,27.994
2024-09-06,SANB11 BZ Equity,PX_LAST,27.702
2024-09-09,SANB11 BZ Equity,PX_LAST,27.728
2024-09-10,SANB11 BZ Equity,PX_LAST,27.675
2024-09-11,SANB11 BZ Equity,PX_LAST,27.427
2024-09-12,SANB11 BZ Equity,PX_LAST,27.161
2024-09-13,SANB11 BZ Equity,PX_LAST,27.267
2024-09-16,SANB11 BZ Equity,PX_LAST,27.143
2024-09-17,SANB11 BZ Equity,PX_LAST,27.17
2024-09-18,SANB11 BZ Equity,PX_LAST,26.94
2024-09-19,SANB11 BZ Equity,PX_LAST,26.745
2024-09-20,SANB11 BZ Equity,PX_LAST,26.169
2024-09-23,SANB11 BZ Equity,PX_LAST,25.601
2024-09-24,SANB11 BZ Equity,PX_LAST,25.743
2024-09-25,SANB11 BZ Equity,PX_LAST,25.77
2024-09-26,SANB11 BZ Equity,PX_LAST,25.619
2024-09-27,SANB11 BZ Equity,PX_LAST,25.415
2024-09-30,SANB11 BZ Equity,PX_LAST,25.158
2024-10-01,SANB11 BZ Equity,PX_LAST,25.309
2024-10-02,SANB11 BZ Equity,PX_LAST,25.788
2024-10-03,SANB11 BZ Equity,PX_LAST,25.194
2024-10-04,SANB11 BZ Equity,PX_LAST,25.389
2024-10-07,SANB11 BZ Equity,PX_LAST,25.442
2024-10-08,SANB11 BZ Equity,PX_LAST,25.415
2024-10-09,SANB11 BZ Equity,PX_LAST,25.176
2024-10-10,SANB11 BZ Equity,PX_LAST,25.344
2024-10-11,SANB11 BZ Equity,PX_LAST,25.327
2024-10-14,SANB11 BZ Equity,PX_LAST,25.619
2024-10-15,SANB11 BZ Equity,PX_LAST,25.646
2024-10-16,SANB11 BZ Equity,PX_LAST,25.734
2024-10-17,SANB11 BZ Equity,PX_LAST,25.601
2024-10-18,SANB11 BZ Equity,PX_LAST,25.738
2024-10-21,SANB11 BZ Equity,PX_LAST,25.603
2024-10-22,SANB11 BZ Equity,PX_LAST,25.333
2024-10-23,SANB11 BZ Equity,PX_LAST,25.648
2024-10-24,SANB11 BZ Equity,PX_LAST,25.729
2024-10-25,SANB11 BZ Equity,PX_LAST,25.666
2024-10-28,SANB11 BZ Equity,PX_LAST,25.945
2024-10-29,SANB11 BZ Equity,PX_LAST,24.615
2024-10-30,SANB11 BZ Equity,PX_LAST,25.118
2024-10-31,SANB11 BZ Equity,PX_LAST,24.444
2024-11-01,SANB11 BZ Equity,PX_LAST,24.084
2024-11-04,SANB11 BZ Equity,PX_LAST,24.111
2024-11-05,SANB11 BZ Equity,PX_LAST,24.147
2024-11-06,SANB11 BZ Equity,PX_LAST,24.354
2024-11-07,SANB11 BZ Equity,PX_LAST,24.273
2024-11-08,SANB11 BZ Equity,PX_LAST,23.976
2024-11-11,SANB11 BZ Equity,PX_LAST,23.698
2024-11-12,SANB11 BZ Equity,PX_LAST,23.491
2024-11-13,SANB11 BZ Equity,PX_LAST,23.365
2024-11-14,SANB11 BZ Equity,PX_LAST,23.078
2024-11-18,SANB11 BZ Equity,PX_LAST,22.799
2024-11-19,SANB11 BZ Equity,PX_LAST,22.79
2024-11-21,SANB11 BZ Equity,PX_LAST,22.754
2024-11-22,SANB11 BZ Equity,PX_LAST,23.581
2024-11-25,SANB11 BZ Equity,PX_LAST,23.761
2024-11-26,SANB11 BZ Equity,PX_LAST,23.878
2024-11-27,SANB11 BZ Equity,PX_LAST,23.078
2024-11-28,SANB11 BZ Equity,PX_LAST,22.377
